domain_interaction,count
3.40.50.720:exclusive,8931
3.20.20.70:exclusive,5519
3.40.50.300:exclusive,3739
1.20.1260.10:exclusive,3487
3.40.50.1580:exclusive,2607
2.60.120.650:exclusive,2252
3.20.20.80:exclusive,2081
3.40.50.1820:exclusive,1854
3.30.420.10:exclusive,1824
3.50.50.60:exclusive,1777
3.20.20.100:exclusive,1674
3.40.50.150:exclusive,1615
2.120.10.10:exclusive,1498
3.40.50.620:exclusive,1445
3.40.640.10:exclusive,1416
3.40.430.10:exclusive,1320
1.10.1130.10:exclusive,1314
3.90.550.10:exclusive,1205
1.10.630.10:exclusive,1080
3.20.20.150:exclusive,1065
3.40.50.720:major_partner-3.90.110.10:partner,920
3.20.20.140:exclusive,896
1.10.760.10:exclusive,891
3.30.930.10:exclusive,889
3.40.50.1440:exclusive,831
2.60.40.420:exclusive,826
3.40.30.10:exclusive,810
3.30.360.10:exclusive,790
3.50.50.60:major_partner-3.50.50.60:partner,783
1.10.600.10:exclusive,751
3.40.50.2020:exclusive,722
3.90.180.10:exclusive,705
2.60.120.10:exclusive,702
3.40.309.10:partner-3.40.605.10:major_partner,696
2.40.70.10:exclusive,673
3.40.50.720:major_partner-3.90.180.10:partner,651
3.40.50.960:exclusive,646
3.40.630.30:exclusive,617
3.90.110.10:exclusive,602
3.30.590.10:exclusive,584
3.40.605.10:exclusive,576
1.20.810.10:exclusive,574
3.40.1190.20:exclusive,549
3.90.1150.10:exclusive,546
3.20.20.120:exclusive,535
3.20.20.60:exclusive,524
3.10.450.50:exclusive,505
3.40.50.300:major_partner-3.40.50.300:partner,503
3.90.228.10:exclusive,501
3.40.50.970:exclusive,493
